"Survey ID",Country,"Survey date",Age,Gender,State/Province,"Did you receive aid?","Did you need aid?","Aid type: Cash/vouchers","Aid type: Food","Aid type: Water/sanitation","Aid type: Shelter","Aid type: Medical","Aid type: Household items","Aid type: Children's Education","Aid type: Seeds/tools","Aid type: Protection","Aid provider: Local authorities","Aid provider: National NGO","Aid provider: International NGO","Aid provider: Red Cross/Crescent Society","Aid provider: UN agency","Aid provider: ICRC","Aid provider: Religious group","Aid provider: Military group","Aid provider: Local business","Aid provider: DONT KNOW","Did aid cover basic needs?","Difficulty receiving aid: Too far away","Difficulty receiving aid: Unsafe for people to reach","Difficulty receiving aid:  Local officials took it","Difficulty receiving aid: Military took it","No difficulty receiving aid","IDK if any difficulty","Does aid reach where it is needed most?","Main access obstacle: Unsafe for aidworkers","Main access obstacle: Poor roads","Main access obstacle:Government restrictions","Main access obstacle: Other military restrictions","Main access obstacle: Most affected areas not prioritized","No access obstacles","Aid provider type most able to reach people in need: government","Aid provider type most able to reach people in need: National NGOs","Aid provider type most able to reach people in need: INGOs","Aid provider type most able to reach people in need: Red Cross/Crescent","Aid provider type most able to reach people in need: UN agencies","Aid provider type most able to reach people in need: ICRC","Aid provider type most able to reach people in need: Religious groups","Aid provider type most able to reach people in need:  Military groups","Aid provider type most able to reach people in need:  Local businesses","IDK who's most able to reach people in need","Most present government provider","Most present government provider2","Most present INGO","Most present INGO2","Most present national NGO","Most present national NGO2","Most present UN aid provider","Most present UN aid provider2","To improve reach: Work through local businesses?","To  improve reach: Work with local [church/mosque]?","To improve reach: Work with the local authorities","To improve reach: Negotiate with armed groups","To improve reach: Consult more with our community","What would improve reach: Be more respectful of our customs","Other potential aid providers: Local businesses [vouchers]","Other potential aid providers: Local councils","Other potential aid providers: Government","Other potential aid providers: Military","Other potential aid providers: Religious group","Other potential aid providers: Truckingtransport company","Other potential aid providers: other ","Change in aid presence","Why is aid presence changing?"
UPS-1004307767260667577,Palestine,"February 4-February 17, 2024",18,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Not at all",No,Yes,Yes,No,No,No,"Not at all",Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,"I don't know",,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS1057586346251933365,Palestine,"February 4-February 17, 2024",44,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Not at all",Yes,No,No,No,No,No,"Not at all",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Reduced a lot","Aids never arrive, and the number of displaced people increases, with a lack of basic needs, oh Lord"
UPS-107911652711472799,Palestine,"February 4-February 17, 2024",30,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,None,,None,,None,,None,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"DONT KNOW",N/A
UPS-1082023873461355963,Palestine,"February 4-February 17, 2024",40,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,"Not really",Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Ministry of Social Development",None,Oxfam,None,None,,None,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Reduced,"Due to the large number of displaced people and also due to the change of place, different from the previous one, and also the timing, the aids are not given to the displaced unless you know someone who might give it to you, and they are sold in the markets. We feel like strangers in other provinces, where there are thefts and roadblocks"
UPS-1167041129139455834,Palestine,"February 4-February 17, 2024",47,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Not really",Yes,No,No,No,No,No,"Not at all",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,None,,UNRWA,WFP,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1227613683764639554,Palestine,"February 4-February 17, 2024",30,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Not really",No,No,No,No,Yes,No,"Yes - very much",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,UNRWA,UNICEF,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS-1235094207317996479,Palestine,"February 4-February 17, 2024",35,FEMALE,"RAFAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,"Not really",Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"I don't know",,"I don't know",,"I don't know",,"I don't know",,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,"Reduced a lot","Due to the distribution of aid to those who do not need it as much as we do. Being displaced from Gaza to Rafah, we are not allowed to take aid, whether food or clothing; all are stolen by those in charge"
UPS-1262887783006408135,Palestine,"February 4-February 17, 2024",31,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Mostly yes",No,No,Yes,No,No,No,"Not really",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,UNICEF,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Reduced,"Because Rafah will be invaded, as the news is circulated, where there is no safety, and Rafah has become a target according to public opinion"
UPS-1277855381679436286,Palestine,"February 4-February 17, 2024",40,FEMALE,"RAFAH GOVERNORATE",YES,YES,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes - very much",No,No,No,No,No,Yes,"DON'T KNOW",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"I don't know",,"I don't know",,"I don't know",,UNRWA,WHO,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
UPS1360359336080076455,Palestine,"February 4-February 17, 2024",27,FEMALE,"DEIR AL-BALAH GOVERNORATE",NO,YES,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,"Not really",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,,None,,None,,UNRWA,,No,No,No,No,No,No,No,No,No,No,No,No,No,"Neutral/stayed the same",N/A
