Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Apr 2025,PSE,2100000,,Deir al-balah,current,2025-04-01,2025-05-31,all,400000,1
Apr 2025,PSE,2100000,,Deir al-balah,current,2025-04-01,2025-05-31,3+,360000,0.9
Apr 2025,PSE,2100000,,Deir al-balah,current,2025-04-01,2025-05-31,1,0,0
Apr 2025,PSE,2100000,,Deir al-balah,current,2025-04-01,2025-05-31,2,40000,0.1
Apr 2025,PSE,2100000,,Deir al-balah,current,2025-04-01,2025-05-31,3,180000,0.45
Apr 2025,PSE,2100000,,Deir al-balah,current,2025-04-01,2025-05-31,4,160000,0.4
Apr 2025,PSE,2100000,,Deir al-balah,current,2025-04-01,2025-05-31,5,20000,0.05
Apr 2025,PSE,2100000,,Deir al-balah,first projection,2025-05-01,2025-09-30,all,400000,1
Apr 2025,PSE,2100000,,Deir al-balah,first projection,2025-05-01,2025-09-30,3+,400000,1
Apr 2025,PSE,2100000,,Deir al-balah,first projection,2025-05-01,2025-09-30,1,0,0
Apr 2025,PSE,2100000,,Deir al-balah,first projection,2025-05-01,2025-09-30,2,0,0
Apr 2025,PSE,2100000,,Deir al-balah,first projection,2025-05-01,2025-09-30,3,120000,0.3
Apr 2025,PSE,2100000,,Deir al-balah,first projection,2025-05-01,2025-09-30,4,220000,0.55
Apr 2025,PSE,2100000,,Deir al-balah,first projection,2025-05-01,2025-09-30,5,60000,0.15
Apr 2025,PSE,2100000,,Gaza,current,2025-04-01,2025-05-31,all,740000,1
Apr 2025,PSE,2100000,,Gaza,current,2025-04-01,2025-05-31,3+,703000,0.95
Apr 2025,PSE,2100000,,Gaza,current,2025-04-01,2025-05-31,1,0,0
Apr 2025,PSE,2100000,,Gaza,current,2025-04-01,2025-05-31,2,37000,0.05
Apr 2025,PSE,2100000,,Gaza,current,2025-04-01,2025-05-31,3,259000,0.35
Apr 2025,PSE,2100000,,Gaza,current,2025-04-01,2025-05-31,4,333000,0.45
Apr 2025,PSE,2100000,,Gaza,current,2025-04-01,2025-05-31,5,111000,0.15
Apr 2025,PSE,2100000,,Gaza,first projection,2025-05-01,2025-09-30,all,740000,1
Apr 2025,PSE,2100000,,Gaza,first projection,2025-05-01,2025-09-30,3+,740000,1
Apr 2025,PSE,2100000,,Gaza,first projection,2025-05-01,2025-09-30,1,0,0
Apr 2025,PSE,2100000,,Gaza,first projection,2025-05-01,2025-09-30,2,0,0
Apr 2025,PSE,2100000,,Gaza,first projection,2025-05-01,2025-09-30,3,185000,0.25
Apr 2025,PSE,2100000,,Gaza,first projection,2025-05-01,2025-09-30,4,370000,0.5
Apr 2025,PSE,2100000,,Gaza,first projection,2025-05-01,2025-09-30,5,185000,0.25
Apr 2025,PSE,2100000,,Khan younis,current,2025-04-01,2025-05-31,all,620000,1
Apr 2025,PSE,2100000,,Khan younis,current,2025-04-01,2025-05-31,3+,558000,0.9
Apr 2025,PSE,2100000,,Khan younis,current,2025-04-01,2025-05-31,1,0,0
Apr 2025,PSE,2100000,,Khan younis,current,2025-04-01,2025-05-31,2,62000,0.1
Apr 2025,PSE,2100000,,Khan younis,current,2025-04-01,2025-05-31,3,217000,0.35
Apr 2025,PSE,2100000,,Khan younis,current,2025-04-01,2025-05-31,4,279000,0.45
Apr 2025,PSE,2100000,,Khan younis,current,2025-04-01,2025-05-31,5,62000,0.1
